ProgId,pThreads,Mem_Hits,Mem_Misses,Mem_Latency,L1_Sets,L1_Latency,L1_Hits,L1_Misses,L2_Sets,L2_Latency,L2_Hits,L2_Misses,L3_Hits,L3_Misses,Instructions,InstructionsPerSecond,SimTime,Cycles,CyclesPerSecond,CommittedInstructions,CommittedInstructionsPerCycle,CommittedMicroInstructions,CommittedMicroInstructionsPerCycle,BranchPredictionAccuracy
12,32,0.0,4546.0,250,128,4,140121.0,4566.0,1024,25,1505.0,0,4356.0,5846.0,1816413,15062,483538.25,1934153,16039,1257260,0.65,2496828,1.291,0.8842
12,32,0.0,4544.0,300,64,4,138826.0,5298.0,2048,25,2840.0,0,4373.0,6190.0,1823298,14844,535222.25,2140889,17430,1257301,0.5873,2496897,1.166,0.8838
12,4,0.0,3998.0,200,64,3,189269.0,4001.0,1024,18,1911.0,0,625.0,5014.0,1637035,16004,423900.00,1695600,16576,1177390,0.6944,2334763,1.377,0.8844
12,4,0.0,3993.0,200,128,3,190084.0,3993.0,1024,25,1027.0,0,631.0,4793.0,1636695,16293,426296.00,1705184,16975,1177366,0.6905,2334723,1.369,0.8846
12,4,0.0,3997.0,250,64,3,189232.0,3997.0,2048,25,1908.0,0,627.0,5016.0,1637709,15825,464519.00,1858076,17954,1177325,0.6336,2334654,1.256,0.8843
12,4,0.0,4004.0,250,128,4,178055.0,4008.0,1024,25,1089.0,0,633.0,4837.0,1640863,16445,486033.25,1944133,19485,1177320,0.6056,2334618,1.201,0.8843
12,4,0.0,4000.0,300,64,4,177448.0,4002.0,2048,25,1915.0,0,630.0,5019.0,1641692,15482,525816.25,2103265,19835,1177289,0.5597,2334592,1.11,0.8839
13,16,0.0,4392.0,200,64,3,187787.0,48128.0,1024,18,2668.0,0,9947.0,12512.0,3598342,10711,533184.00,2132736,6349,2766633,1.297,4702723,2.205,0.9452
13,16,0.0,4391.0,200,128,3,185465.0,50927.0,1024,25,1409.0,0,10143.0,12941.0,3786537,11066,546019.00,2184076,6383,2949492,1.35,4975406,2.278,0.9485
13,16,0.0,4394.0,250,64,3,190697.0,50089.0,2048,25,2652.0,0,10177.0,12941.0,3960015,11329,585540.00,2342160,6701,3115678,1.33,5228953,2.233,0.951
13,16,0.0,4400.0,250,128,4,167754.0,49612.0,1024,25,1370.0,0,9871.0,12546.0,3764507,11603,594245.25,2376981,7326,2921089,1.229,4938015,2.077,0.948
13,16,0.0,4394.0,300,64,4,163912.0,49399.0,2048,25,2663.0,0,10169.0,12846.0,4028718,11106,637264.25,2549057,7027,3168214,1.243,5315312,2.085,0.9513
13,1,0.0,3978.0,200,64,3,336062.0,3978.0,1024,18,2172.0,0,0.0,4614.0,1447552,14946,461907.00,1847628,19077,949419,0.5139,1711420,0.9263,0.8674
13,1,0.0,3980.0,200,128,3,336966.0,3980.0,1024,25,1090.0,0,0.0,4446.0,1446067,15087,461876.00,1847504,19275,949487,0.5139,1711533,0.9264,0.8682
